"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEK30_RS00025",155.991029583211,-1.76262120960533,0.167808219724586,-10.5037835005831,8.29858161590282e-26,1.97012128438609e-25
"FEK30_RS00145",120.811089718598,-0.717160199999072,0.167103407923369,-4.29171498601602,1.77298429884249e-05,2.44824028241742e-05
"FEK30_RS00170",135.90789047141,-1.33508084355154,0.174358950095831,-7.65708237413539,1.90204643026737e-14,3.59232655756975e-14
"FEK30_RS00175",529.45091383765,-1.17911808107631,0.127783603015095,-9.22745996555617,2.77125372024842e-20,5.90764597332471e-20
"FEK30_RS00190",111.650046053096,-0.343089450593556,0.183013205717263,-1.87467046024861,0.0608380731632038,0.0688301401713045
"FEK30_RS00205",144.60462799692,2.56658242805881,0.18015177560515,14.246778414686,4.69443122540215e-46,1.55683803316358e-45
"FEK30_RS00210",225.83146013977,2.27038686213867,0.137780650245068,16.4782707738741,5.256699719708e-61,2.1960451515616e-60
"FEK30_RS00250",115.792117036207,0.412284694377422,0.198691821019635,2.07499580134544,0.0379869239039818,0.0438274525998537
"FEK30_RS00255",14.3112063904168,1.21989696266631,0.489042927352987,2.49445783679804,0.0126149712679611,0.0150380343181529
"FEK30_RS00260",10.0644433590022,0.859888095272603,0.605142233650272,1.42096857144754,0.155325896400589,0.170760873537018
"FEK30_RS00275",192.965419005548,-2.12360005841946,0.154982375367838,-13.7022035788216,9.84892614294347e-43,3.14693427786516e-42
"FEK30_RS00290",84.4623762466894,2.34067299139422,0.257220430917949,9.09987197766915,9.04383705834058e-20,1.90471782741123e-19
"FEK30_RS00375",156.657160789393,-1.77455892938799,0.184970538117643,-9.59373826473575,8.49500782868339e-22,1.86930243022679e-21
"FEK30_RS00420",109.001360702088,-1.02088929769428,0.164999852070152,-6.18721341192618,6.12370374032559e-10,1.00411521787764e-09
"FEK30_RS00595",6.55421684445104,-0.515219651932873,0.607270792055596,-0.848418298184353,0.396205055680209,0.417851526318351
"FEK30_RS00615",289.903259469191,-1.22854639207177,0.179839913073027,-6.83133332906415,8.41289966972413e-12,1.4781987555278e-11
"FEK30_RS00620",249.375265376554,-1.52079893502139,0.136240961601793,-11.1625675357929,6.21697121372324e-29,1.57763394625669e-28
"FEK30_RS00625",10.2931966528826,-0.705221944789538,0.567728137149864,-1.24218247897652,0.214169242659628,0.232980843452895
"FEK30_RS00635",336.277228192161,-1.4453084794966,0.131450916562881,-10.9950429961835,4.03721065405672e-28,1.009843844567e-27
"FEK30_RS00640",128.337540806606,-1.43153115586982,0.162055160920281,-8.83360423537532,1.01355798715897e-18,2.08245520719461e-18
"FEK30_RS00645",447.164235353666,-1.549961590601,0.114864991295575,-13.4937684068819,1.70175142972806e-41,5.35793279168598e-41
"FEK30_RS00650",42.690202555129,-0.237666643723016,0.249404826446784,-0.952935222260937,0.340622892637041,0.362235363408464
"FEK30_RS00680",43.8604660330428,0.822943365790852,0.257485106255745,3.19608142683588,0.00139307791304774,0.00175561687466034
"FEK30_RS00785",15.6319470728004,0.264603147141624,0.547435352473685,0.483350492338441,0.628846894177862,0.649259482406431
"FEK30_RS00820",1064.23015317532,-0.78918171018709,0.0846733210076251,-9.32031129517198,1.15999460368014e-20,2.48989639240851e-20
"FEK30_RS00825",122.287495601798,-1.83304710284595,0.171308315185914,-10.7002809575041,1.01470082519194e-26,2.46326765803318e-26
"FEK30_RS00830",85.0875539537213,-1.2921623925043,0.228590530666292,-5.65273805847481,1.57911864764551e-08,2.4803328253422e-08
"FEK30_RS00865",13.4038818277454,-2.37486507117622,0.607780161610313,-3.90744091561662,9.3278841689545e-05,0.000124802809698392
"FEK30_RS00945",44.2480509829244,0.908377062182913,0.261435872012599,3.47456932818744,0.000511674123684572,0.000658774550226825
"FEK30_RS00955",8.39699176592319,0.55146015340542,1.21468859850645,0.453993026758859,0.649833845802627,0.669446056091848
"FEK30_RS01000",47.7207543035768,-1.11632187826558,2.53779600896523,-0.439878490754168,0.660025115146481,0.678945349979787
"FEK30_RS01005",43.9083585309543,-1.01047045060903,0.272087064256797,-3.71377615238386,0.000204189422287125,0.000267944769330363
"FEK30_RS01010",173.237261449187,-1.31493294994939,0.171914805101767,-7.64874758268199,2.02946165442101e-14,3.83038649408254e-14
"FEK30_RS01015",101.304221161546,-1.66488136896187,0.200640172204987,-8.29784659106511,1.06015450923503e-16,2.09264631265787e-16
"FEK30_RS01170",275.008816351231,-1.24661507363239,0.118533241800755,-10.5170081801006,7.21275913002389e-26,1.71525172514332e-25
"FEK30_RS01175",1081.18144879271,-0.486117520693731,0.0798559910250899,-6.08742706030657,1.1473961975577e-09,1.85961896755298e-09
"FEK30_RS01180",233.696258282059,-0.347418928200025,0.136011301355656,-2.55433868169203,0.0106389715922184,0.012736732885637
"FEK30_RS01185",1436.64530020233,4.05118604135273,0.12334624917828,32.8440148633731,1.38671828662299e-236,2.77244606018411e-235
"FEK30_RS01190",16214.4962598671,2.41366820619223,0.0831704425382949,29.0207450210558,3.60180563749387e-185,4.77794027457125e-184
"FEK30_RS01195",2554.43196560832,2.83996494054243,0.167163788303775,16.9891157011922,9.88684927137913e-65,4.32395173602971e-64
"FEK30_RS01200",777.680677091903,1.35025994029171,0.148874708695386,9.069773852955,1.19264291526445e-19,2.49865832322246e-19
"FEK30_RS01205",192.62699624857,1.27090437055911,0.202550943270047,6.27449248095924,3.50776581763333e-10,5.82339058336636e-10
"FEK30_RS01210",400.43845732765,0.601182144578209,0.158319976102487,3.79726020290099,0.000146304193175008,0.000193162941838135
"FEK30_RS01215",469.48085358665,-2.22369820649573,0.10089859581737,-22.0389410623782,1.21956319192083e-107,8.53389343546601e-107
"FEK30_RS01220",1325.84524320602,-1.03862376242411,0.108546898642959,-9.56843332613706,1.08537860377041e-21,2.38272526427717e-21
"FEK30_RS01230",2095.12856447942,-0.420357658706754,0.07518123687965,-5.59125755512191,2.25430900189214e-08,3.52700441380442e-08
"FEK30_RS01235",894.593119514336,0.128358843133836,0.0847171150968898,1.51514653192609,0.129735299979156,0.143302724799392
"FEK30_RS01240",2308.14346295496,0.00946247268776691,0.0865321067249458,0.109352158937314,0.912923177749923,0.919493333761078
"FEK30_RS01245",1912.03220704796,0.184120370743691,0.0869467604581468,2.11762197663845,0.0342070954431008,0.0396134299318325
"FEK30_RS01250",1619.74748711338,0.5783201338409,0.0908320771771016,6.36691521116828,1.92867719800415e-10,3.22290595654544e-10
"FEK30_RS01255",353.68682050881,1.01239913589008,0.114261063027091,8.86040361492213,7.97252653680133e-19,1.6432328259578e-18
"FEK30_RS01260",3002.91113657394,-2.15592166462019,0.0761483013559024,-28.3121438854404,2.44955119321794e-176,2.98099729992044e-175
"FEK30_RS01265",1300.7128304564,-0.800668792494334,0.0864849271032061,-9.25789983656762,2.08492603236338e-20,4.45814206614598e-20
"FEK30_RS01270",470.593315044683,0.0729343243248359,0.105122844575656,0.693800901404885,0.487807077258143,0.508518439197595
"FEK30_RS01275",7220.85425576395,1.03947562650945,0.443283029443499,2.34494793950135,0.0190297365087562,0.022351755135547
"FEK30_RS01285",2600.9057918466,1.83495518939371,0.334031174731758,5.49336507548214,3.9434641141183e-08,6.10157880343677e-08
"FEK30_RS01290",6822.84369688918,3.44561832998738,0.264441500367083,13.0297942085655,8.28307521693839e-39,2.50100620627946e-38
"FEK30_RS01295",6492.76623032288,-1.16354582635536,0.0838944533897715,-13.8691627317668,9.74071546431093e-44,3.15193787105275e-43
"FEK30_RS01300",118.638742581408,1.30472935104634,0.234690583619104,5.55935960841052,2.70766295022196e-08,4.22921238709334e-08
"FEK30_RS01305",1911.18919274861,-0.303113489631803,0.083735766392029,-3.61988075934845,0.000294738807704552,0.00038281852564503
"FEK30_RS01310",545.993911789386,-0.074968823097837,0.099698219721654,-0.7519574903859,0.452076623242625,0.474629583066807
"FEK30_RS01315",547.850536467456,-0.248326229701729,0.0939307987184061,-2.64371466111113,0.00820017510322957,0.00988470719807905
"FEK30_RS01320",4447.07269788581,0.040183583608168,0.155394940140004,0.258590038851744,0.795951569743626,0.811018727234223
"FEK30_RS01325",1041.13045447542,1.62311947569319,0.159929635316024,10.1489600253629,3.3491323465238e-24,7.73450613689778e-24
"FEK30_RS01330",347.362931188417,-2.01569702068059,0.126814567370558,-15.8948381284196,6.88059607207372e-57,2.73174303627437e-56
"FEK30_RS01335",1460.3068494498,-1.46512627995195,0.0912697588920277,-16.0527024256216,5.47282836554808e-58,2.191480199595e-57
"FEK30_RS01340",2721.85614390263,-2.03413364362278,0.0805942400040062,-25.2391938123825,1.48840893015107e-140,1.39800556895733e-139
"FEK30_RS01345",647.055527795084,-0.9080178463815,0.105222404374494,-8.62951052847831,6.16150801589877e-18,1.24520295570402e-17
"FEK30_RS01350",861.471065599869,0.0596322995008071,0.143355364661248,0.415975360543498,0.677428033176315,0.695824243985507
