"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEK30_RS00025",155.991029583211,1.11480377659936,0.17941479265615,6.21355552736328,5.17989158544022e-10,8.38064540326426e-10
"FEK30_RS00145",120.811089718598,0.326202326055814,0.180809928561033,1.80411733278078,0.0712129150769856,0.0794756576158225
"FEK30_RS00170",135.90789047141,1.44712626967742,0.179663495963436,8.05464828521386,7.9707672157384e-16,1.47847431655744e-15
"FEK30_RS00175",529.45091383765,1.10990521734941,0.130242742706419,8.52182005911271,1.57065281829875e-17,3.04660931283312e-17
"FEK30_RS00190",111.650046053096,0.101264520852333,0.195591140399232,0.517735724867889,0.604642669054143,0.624499937521235
"FEK30_RS00205",144.60462799692,-2.99003836832654,0.228875731506484,-13.0640253933687,5.285722822235e-39,1.45904715773528e-38
"FEK30_RS00210",225.83146013977,-2.78111433252631,0.173084752024978,-16.0679337722653,4.28120328072695e-58,1.5502054311455e-57
"FEK30_RS00250",115.792117036207,-0.260478165016247,0.209281348271208,-1.24463153151466,0.213267224364149,0.230298981865453
"FEK30_RS00255",14.3112063904168,-1.20509075544439,0.54770357083743,-2.20026090682925,0.027788389211761,0.0319686401166128
"FEK30_RS00260",10.0644433590022,-0.391619305479066,0.626646136151415,-0.624944897744396,0.532007223539265,0.552537372425381
"FEK30_RS00275",192.965419005548,2.31443764892274,0.158445690012231,14.6071354086317,2.52931245098448e-48,8.08167300263192e-48
"FEK30_RS00290",84.4623762466894,-2.74096220572677,0.32379657098992,-8.46507483802877,2.55988265036915e-17,4.95512554521664e-17
"FEK30_RS00375",156.657160789393,1.11879634834341,0.195248430603023,5.73011698423396,1.00361395911121e-08,1.55543492334014e-08
"FEK30_RS00420",109.001360702088,1.55654062276071,0.167614750679372,9.28641791042721,1.59568212480689e-20,3.2672379424539e-20
"FEK30_RS00595",6.55421684445104,-1.48050732030851,0.850276606062776,-1.74120669644674,0.0816473538843101,0.0907949716019801
"FEK30_RS00615",289.903259469191,1.93318035758418,0.180102793581405,10.733761088,7.06603711532713e-27,1.64815315715005e-26
"FEK30_RS00620",249.375265376554,1.9256532591512,0.13853995524995,13.8996237993364,6.3675158330557e-44,1.892003908357e-43
"FEK30_RS00625",10.2931966528826,1.06575749514683,0.58363505651035,1.82606833372754,0.0678399693808121,0.0758020256674224
"FEK30_RS00635",336.277228192161,2.04888581477698,0.132154546986826,15.503710326223,3.27425193977694e-54,1.12449462324364e-53
"FEK30_RS00640",128.337540806606,1.94592401091587,0.164463766837697,11.8319314237538,2.66928123066759e-32,6.76137390465029e-32
"FEK30_RS00645",447.164235353666,2.07715855291418,0.115750447817177,17.9451448533051,5.23738470437143e-72,2.21441688633469e-71
"FEK30_RS00650",42.690202555129,0.395806153787723,0.263194528411182,1.50385403593712,0.132618954211822,0.145740264169176
"FEK30_RS00680",43.8604660330428,-0.538263670728192,0.274819989385771,-1.95860451028771,0.0501591209825954,0.056565422896972
"FEK30_RS00785",15.6319470728004,-1.07206450614881,0.626318745649802,-1.71169155257607,0.0869535261845775,0.096427464259363
"FEK30_RS00820",1064.23015317532,1.30847305921133,0.0852562313964701,15.34753574934,3.67898010050456e-53,1.25273300502582e-52
"FEK30_RS00825",122.287495601798,2.14623100910979,0.17539265456129,12.2367211698698,1.97865552065429e-34,5.19049372287851e-34
"FEK30_RS00830",85.0875539537213,2.18096777155016,0.227359747247899,9.59258531006445,8.59049931760601e-22,1.80788026992325e-21
"FEK30_RS00865",13.4038818277454,3.14177486389508,0.60781571994337,5.1689595395588,2.35400849327383e-07,3.44606159658653e-07
"FEK30_RS00945",44.2480509829244,0.0265507101658203,0.256646826428667,0.103452322147455,0.917603987801226,0.924207830822465
"FEK30_RS00955",8.39699176592319,-1.77837566134393,1.28283339464441,-1.38628731429063,0.165659188901053,0.180631114037416
"FEK30_RS01000",47.7207543035768,-0.171001533462567,2.54262088230838,-0.0672540427290595,0.946379462596603,0.950113384436116
"FEK30_RS01005",43.9083585309543,1.55921206380796,0.276265139745834,5.64389725479823,1.66243306752868e-08,2.55386945994115e-08
"FEK30_RS01010",173.237261449187,1.65769854448088,0.174937577447988,9.47594318306903,2.64361501098382e-21,5.50966374962301e-21
"FEK30_RS01015",101.304221161546,1.87541004322223,0.205913806017088,9.10774308676806,8.41134665267377e-20,1.70233978892508e-19
"FEK30_RS01170",275.008816351231,1.06268607878723,0.124438820289159,8.53982765440766,1.34422174275049e-17,2.60920711370223e-17
"FEK30_RS01175",1081.18144879271,1.09494416351389,0.0802711330186705,13.6405719258904,2.29751624593262e-42,6.67782759331819e-42
"FEK30_RS01180",233.696258282059,0.578694068550983,0.140213418833871,4.12723741681699,3.67147289295506e-05,4.90288770390325e-05
"FEK30_RS01185",1436.64530020233,-4.56233980741528,0.143650481182059,-31.760003655213,2.31035553968367e-221,3.29932916100744e-220
"FEK30_RS01190",16214.4962598671,-3.10115125243495,0.0843273613945238,-36.7751486724015,4.60920719768318e-296,1.0841320122954e-294
"FEK30_RS01195",2554.43196560832,-3.58009646298115,0.172354192211544,-20.7717399678159,7.79817019641003e-96,4.21372169493276e-95
"FEK30_RS01200",777.680677091903,-1.20111379262872,0.152018631577951,-7.9010959391042,2.76461751257065e-15,5.06093160084058e-15
"FEK30_RS01205",192.62699624857,-1.11707868228747,0.212984596860219,-5.24488014041972,1.56383957535859e-07,2.30742592062661e-07
"FEK30_RS01210",400.43845732765,-0.747440546425767,0.164795878395184,-4.5355536419023,5.74525730394944e-06,7.93338687407721e-06
"FEK30_RS01215",469.48085358665,1.78545229972835,0.105682062145195,16.8945634054278,4.93352147589357e-64,1.92324883161924e-63
"FEK30_RS01220",1325.84524320602,0.792533364452113,0.110185497545543,7.19271938781722,6.35133942915198e-13,1.10281631899481e-12
"FEK30_RS01230",2095.12856447942,0.194071435655268,0.0767615987646959,2.52823597708239,0.0114637272408601,0.0134989367047402
"FEK30_RS01235",894.593119514336,-0.617615305929986,0.0899602092728519,-6.86542762541537,6.62923680508675e-12,1.12184001314618e-11
"FEK30_RS01240",2308.14346295496,-0.311766439031492,0.0882218549369901,-3.53389122518635,0.000409489565461319,0.000524079238100701
"FEK30_RS01245",1912.03220704796,-0.384532140289976,0.0887630887248079,-4.33211761571457,1.47682008450767e-05,2.00272258553148e-05
"FEK30_RS01250",1619.74748711338,-0.716480189258394,0.0930824541881298,-7.69726363048303,1.39010907922807e-14,2.51026794371572e-14
"FEK30_RS01255",353.68682050881,-0.946580895025165,0.122318093697299,-7.73868253185562,1.0045225725055e-14,1.81984380611191e-14
"FEK30_RS01260",3002.91113657394,2.57077718627844,0.0764117011290679,33.6437633018549,3.84663188490988e-248,6.44713930889986e-247
"FEK30_RS01265",1300.7128304564,1.22495887079034,0.0871634581532107,14.0535827368986,7.32333579360488e-45,2.21122080758361e-44
"FEK30_RS01270",470.593315044683,-0.110819485747198,0.110391645106278,-1.00387566142807,0.315438549228465,0.33558057745742
"FEK30_RS01275",7220.85425576395,-0.485017455066527,0.443303773246592,-1.09409728573804,0.273912312744972,0.292961621464722
"FEK30_RS01285",2600.9057918466,-1.60408672804641,0.334339444350241,-4.79777888954686,1.60434739278216e-06,2.2760103154573e-06
"FEK30_RS01290",6822.84369688918,-2.6692896530145,0.264433257515499,-10.094379497095,5.84998662411706e-24,1.28223277689144e-23
