transcript_id,gene_id
unassigned_transcript_1,FEK30_RS01170
unassigned_transcript_2,FEK30_RS01175
unassigned_transcript_3,FEK30_RS01180
unassigned_transcript_4,FEK30_RS01185
unassigned_transcript_5,FEK30_RS01190
unassigned_transcript_6,FEK30_RS01195
unassigned_transcript_7,FEK30_RS01200
unassigned_transcript_8,FEK30_RS01205
unassigned_transcript_9,FEK30_RS01210
unassigned_transcript_10,FEK30_RS01215
unassigned_transcript_11,FEK30_RS01220
unassigned_transcript_12,FEK30_RS01225
unassigned_transcript_13,FEK30_RS01230
unassigned_transcript_14,FEK30_RS01235
unassigned_transcript_15,FEK30_RS01240
unassigned_transcript_16,FEK30_RS01245
unassigned_transcript_17,FEK30_RS01250
unassigned_transcript_18,FEK30_RS01255
unassigned_transcript_19,FEK30_RS01260
unassigned_transcript_20,FEK30_RS01265
unassigned_transcript_21,FEK30_RS01270
unassigned_transcript_22,FEK30_RS01275
unassigned_transcript_23,FEK30_RS01280
unassigned_transcript_24,FEK30_RS01285
unassigned_transcript_25,FEK30_RS01290
unassigned_transcript_26,FEK30_RS17040
unassigned_transcript_27,FEK30_RS01295
unassigned_transcript_28,FEK30_RS01300
unassigned_transcript_29,FEK30_RS01305
unassigned_transcript_30,FEK30_RS01310
unassigned_transcript_31,FEK30_RS01315
unassigned_transcript_32,FEK30_RS01320
unassigned_transcript_33,FEK30_RS01325
unassigned_transcript_34,FEK30_RS01330
unassigned_transcript_35,FEK30_RS01335
unassigned_transcript_36,FEK30_RS01340
unassigned_transcript_37,FEK30_RS01345
unassigned_transcript_38,FEK30_RS01350
unassigned_transcript_39,FEK30_RS01355
unassigned_transcript_40,FEK30_RS01360
unassigned_transcript_41,FEK30_RS01365
unassigned_transcript_42,FEK30_RS01370
unassigned_transcript_43,FEK30_RS01375
unassigned_transcript_44,FEK30_RS01380
unassigned_transcript_45,FEK30_RS01385
unassigned_transcript_46,FEK30_RS01390
unassigned_transcript_47,FEK30_RS01395
unassigned_transcript_48,FEK30_RS01400
unassigned_transcript_49,FEK30_RS01405
unassigned_transcript_50,FEK30_RS01410
unassigned_transcript_51,FEK30_RS01415
unassigned_transcript_52,FEK30_RS01420
unassigned_transcript_53,FEK30_RS01425
unassigned_transcript_54,FEK30_RS01430
unassigned_transcript_55,FEK30_RS01435
unassigned_transcript_56,FEK30_RS01440
unassigned_transcript_57,FEK30_RS01445
unassigned_transcript_58,FEK30_RS01450
unassigned_transcript_59,FEK30_RS01455
unassigned_transcript_60,FEK30_RS01460
unassigned_transcript_61,FEK30_RS01465
unassigned_transcript_62,FEK30_RS01470
unassigned_transcript_63,FEK30_RS01475
unassigned_transcript_64,FEK30_RS01480
unassigned_transcript_65,FEK30_RS01485
unassigned_transcript_66,FEK30_RS01490
unassigned_transcript_67,FEK30_RS01495
unassigned_transcript_68,FEK30_RS01500
unassigned_transcript_69,FEK30_RS01505
unassigned_transcript_70,FEK30_RS01510
unassigned_transcript_71,FEK30_RS01515
unassigned_transcript_72,FEK30_RS01520
unassigned_transcript_73,FEK30_RS01525
unassigned_transcript_74,FEK30_RS01530
unassigned_transcript_75,FEK30_RS01535
unassigned_transcript_76,FEK30_RS01540
unassigned_transcript_77,FEK30_RS01545
unassigned_transcript_78,FEK30_RS01550
unassigned_transcript_79,FEK30_RS01555
unassigned_transcript_80,FEK30_RS01560
unassigned_transcript_81,FEK30_RS01565
unassigned_transcript_82,FEK30_RS01570
unassigned_transcript_83,FEK30_RS01575
unassigned_transcript_84,FEK30_RS01580
unassigned_transcript_85,FEK30_RS01585
unassigned_transcript_86,FEK30_RS01590
unassigned_transcript_87,FEK30_RS01595
unassigned_transcript_88,FEK30_RS01600
unassigned_transcript_89,FEK30_RS01605
unassigned_transcript_90,FEK30_RS01610
unassigned_transcript_91,FEK30_RS01615
unassigned_transcript_92,FEK30_RS01620
unassigned_transcript_93,FEK30_RS01625
unassigned_transcript_94,FEK30_RS01630
unassigned_transcript_95,FEK30_RS01635
unassigned_transcript_96,FEK30_RS01640
unassigned_transcript_97,FEK30_RS01645
unassigned_transcript_98,FEK30_RS01650
unassigned_transcript_99,FEK30_RS01655
unassigned_transcript_100,FEK30_RS01660
unassigned_transcript_101,FEK30_RS01665
unassigned_transcript_102,FEK30_RS01670
unassigned_transcript_103,FEK30_RS01675
unassigned_transcript_104,FEK30_RS01680
unassigned_transcript_105,FEK30_RS01685
unassigned_transcript_106,FEK30_RS01690
unassigned_transcript_107,FEK30_RS01695
unassigned_transcript_108,FEK30_RS01700
unassigned_transcript_109,FEK30_RS01705
unassigned_transcript_110,FEK30_RS01710
unassigned_transcript_111,FEK30_RS01715
unassigned_transcript_112,FEK30_RS01720
unassigned_transcript_113,FEK30_RS01725
unassigned_transcript_114,FEK30_RS01730
unassigned_transcript_115,FEK30_RS01735
unassigned_transcript_116,FEK30_RS01740
unassigned_transcript_117,FEK30_RS16690
unassigned_transcript_118,FEK30_RS01745
unassigned_transcript_119,FEK30_RS01750
unassigned_transcript_120,FEK30_RS01755
unassigned_transcript_121,FEK30_RS16875
unassigned_transcript_122,FEK30_RS01765
unassigned_transcript_123,FEK30_RS01770
unassigned_transcript_124,FEK30_RS01775
unassigned_transcript_125,FEK30_RS01780
unassigned_transcript_126,FEK30_RS01785
unassigned_transcript_127,FEK30_RS01790
unassigned_transcript_128,FEK30_RS01795
unassigned_transcript_129,FEK30_RS01800
unassigned_transcript_130,FEK30_RS01805
unassigned_transcript_131,FEK30_RS01810
unassigned_transcript_132,FEK30_RS01815
unassigned_transcript_133,FEK30_RS01820
unassigned_transcript_134,FEK30_RS01825
unassigned_transcript_135,FEK30_RS01830
unassigned_transcript_136,FEK30_RS01835
unassigned_transcript_137,FEK30_RS01840
unassigned_transcript_138,FEK30_RS01845
unassigned_transcript_139,FEK30_RS01850
unassigned_transcript_140,FEK30_RS01855
unassigned_transcript_141,FEK30_RS01860
unassigned_transcript_142,FEK30_RS01865
unassigned_transcript_143,FEK30_RS01870
unassigned_transcript_144,FEK30_RS01875
unassigned_transcript_145,FEK30_RS01880
unassigned_transcript_146,FEK30_RS01885
unassigned_transcript_147,FEK30_RS01890
unassigned_transcript_148,FEK30_RS01895
unassigned_transcript_149,FEK30_RS01900
unassigned_transcript_150,FEK30_RS01905
unassigned_transcript_151,FEK30_RS01910
unassigned_transcript_152,FEK30_RS01915
unassigned_transcript_153,FEK30_RS01920
unassigned_transcript_154,FEK30_RS01925
unassigned_transcript_155,FEK30_RS01930
unassigned_transcript_156,FEK30_RS01935
unassigned_transcript_157,FEK30_RS01940
unassigned_transcript_158,FEK30_RS01945
unassigned_transcript_159,FEK30_RS01950
unassigned_transcript_160,FEK30_RS01955
unassigned_transcript_161,FEK30_RS01960
unassigned_transcript_162,FEK30_RS01965
unassigned_transcript_163,FEK30_RS01970
unassigned_transcript_164,FEK30_RS01975
unassigned_transcript_165,FEK30_RS01980
unassigned_transcript_166,FEK30_RS01985
unassigned_transcript_167,FEK30_RS01990
unassigned_transcript_168,FEK30_RS01995
unassigned_transcript_169,FEK30_RS02000
unassigned_transcript_170,FEK30_RS02005
unassigned_transcript_171,FEK30_RS02010
unassigned_transcript_172,FEK30_RS02015
unassigned_transcript_173,FEK30_RS02020
unassigned_transcript_174,FEK30_RS02025
unassigned_transcript_175,FEK30_RS02030
unassigned_transcript_176,FEK30_RS02035
unassigned_transcript_177,FEK30_RS02040
unassigned_transcript_178,FEK30_RS02045
unassigned_transcript_179,FEK30_RS02050
unassigned_transcript_180,FEK30_RS02055
unassigned_transcript_181,FEK30_RS02060
unassigned_transcript_182,FEK30_RS02065
unassigned_transcript_183,FEK30_RS02070
unassigned_transcript_184,FEK30_RS02075
unassigned_transcript_185,FEK30_RS02080
unassigned_transcript_186,FEK30_RS02085
unassigned_transcript_187,FEK30_RS02090
unassigned_transcript_188,FEK30_RS02095
unassigned_transcript_189,FEK30_RS02100
unassigned_transcript_190,FEK30_RS02105
unassigned_transcript_191,FEK30_RS02110
unassigned_transcript_192,FEK30_RS02115
unassigned_transcript_193,FEK30_RS02120
unassigned_transcript_194,FEK30_RS02125
unassigned_transcript_195,FEK30_RS02130
unassigned_transcript_196,FEK30_RS02135
unassigned_transcript_197,FEK30_RS02140
unassigned_transcript_198,FEK30_RS02145
unassigned_transcript_199,FEK30_RS02150
unassigned_transcript_200,FEK30_RS02155
unassigned_transcript_201,FEK30_RS02160
unassigned_transcript_202,FEK30_RS02165
unassigned_transcript_203,FEK30_RS02170
unassigned_transcript_204,FEK30_RS02175
unassigned_transcript_205,FEK30_RS17200
unassigned_transcript_206,FEK30_RS02185
unassigned_transcript_207,FEK30_RS02190
unassigned_transcript_208,FEK30_RS02195
unassigned_transcript_209,FEK30_RS02200
unassigned_transcript_210,FEK30_RS02205
unassigned_transcript_211,FEK30_RS02210
unassigned_transcript_212,FEK30_RS02215
unassigned_transcript_213,FEK30_RS02220
unassigned_transcript_214,FEK30_RS02225
unassigned_transcript_215,FEK30_RS02230
unassigned_transcript_216,FEK30_RS02235
unassigned_transcript_217,FEK30_RS02240
unassigned_transcript_218,FEK30_RS02245
unassigned_transcript_219,FEK30_RS16695
unassigned_transcript_220,FEK30_RS02250
unassigned_transcript_221,FEK30_RS02255
unassigned_transcript_222,FEK30_RS02260
unassigned_transcript_223,FEK30_RS02265
unassigned_transcript_224,FEK30_RS02270
unassigned_transcript_225,FEK30_RS02275
unassigned_transcript_226,FEK30_RS02280
unassigned_transcript_227,FEK30_RS02285
unassigned_transcript_228,FEK30_RS02290
unassigned_transcript_229,FEK30_RS02295
unassigned_transcript_230,FEK30_RS02300
unassigned_transcript_231,FEK30_RS02305
unassigned_transcript_232,FEK30_RS02310
unassigned_transcript_233,FEK30_RS02315
unassigned_transcript_234,FEK30_RS02320
unassigned_transcript_235,FEK30_RS02325
unassigned_transcript_236,FEK30_RS02330
unassigned_transcript_237,FEK30_RS02335
unassigned_transcript_238,FEK30_RS02340
unassigned_transcript_239,FEK30_RS02345
unassigned_transcript_240,FEK30_RS02350
unassigned_transcript_241,FEK30_RS02355
