Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,Pathway_Name,Comparison
gs_ind_0,PWY-7980,6/17,4.32267790800588e-06,6.916284652809408e-05,20.5716370002918,254.0933610769094,FEK30_RS07780;FEK30_RS07775;FEK30_RS07770;FEK30_RS07765;FEK30_RS07790;FEK30_RS07785,ATP biosynthesis,Ammonia
gs_ind_0,CALVIN-PWY,3/14,0.006500600776733505,0.034669870809245364,10.648246844319775,53.623087585319794,FEK30_RS10955;FEK30_RS10690;FEK30_RS02995,Calvin-Benson-Bassham cycle,Ammonia
gs_ind_0,PWY-7159,3/13,0.005213944805980487,0.034669870809245364,11.666666666666666,61.32488307471544,FEK30_RS01290;FEK30_RS14265;FEK30_RS01275,"3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",Ammonia
gs_ind_0,PHOTOALL-PWY,27/59,1.889327475591622e-08,9.635570125517273e-07,4.9224080267558525,87.54236772628938,FEK30_RS10955;FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS02995;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS13420;FEK30_RS08135;FEK30_RS05230;FEK30_RS12220;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04065;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,oxygenic photosynthesis,Glycerol
gs_ind_0,PWY-101,22/45,9.448415565901855e-08,1.6062306462033154e-06,5.522647173998172,89.3278995209601,FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS08135;FEK30_RS05230;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,photosynthesis light reactions,Glycerol
gs_ind_0,PWY-7731,23/48,7.689162483385316e-08,1.6062306462033154e-06,5.324240889467718,87.21569187566664,FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS08135;FEK30_RS05550;FEK30_RS05230;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,superpathway of photosynthetic hydrogen production,Glycerol
gs_ind_0,HEMESYN2-PWY,1/4,0.03105462457187369,0.03105462457187369,55.36544850498339,192.22925478549166,FEK30_RS14255,heme b biosynthesis II (oxygen-independent),Low Nitrogen
gs_ind_0,PWY-7980,6/17,6.184004648748811e-06,9.276006973123217e-05,19.24227508887066,230.78308246227024,FEK30_RS07780;FEK30_RS07775;FEK30_RS07770;FEK30_RS07765;FEK30_RS07790;FEK30_RS07785,ATP biosynthesis,High Phosphate
gs_ind_0,PWY-7159,3/13,0.00618385522511489,0.046378914188361674,10.93939393939394,55.63571605703554,FEK30_RS01290;FEK30_RS14265;FEK30_RS01275,"3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",High Phosphate
gs_ind_0,PWY-7980,7/17,4.43974485675104e-06,6.215642799451456e-05,15.80023710729105,194.73655796318627,FEK30_RS07780;FEK30_RS07775;FEK30_RS07770;FEK30_RS07795;FEK30_RS07765;FEK30_RS07790;FEK30_RS07785,ATP biosynthesis,Urea
