term,gene
PWY-6952,FEK30_RS03840
PWY-6952,FEK30_RS03910
NONOXIPENT-PWY,FEK30_RS11515
NONOXIPENT-PWY,FEK30_RS02435
NONOXIPENT-PWY,FEK30_RS09250
NONOXIPENT-PWY,FEK30_RS05675
NONOXIPENT-PWY,FEK30_RS10520
GLUAMCAT-PWY,FEK30_RS03785
LEUSYN-PWY,FEK30_RS01325
LEUSYN-PWY,FEK30_RS13755
LEUSYN-PWY,FEK30_RS10975
LEUSYN-PWY,FEK30_RS06360
LEUSYN-PWY,FEK30_RS10960
PWY-8072,FEK30_RS02060
PWY-7928,FEK30_RS12880
PWY-7928,FEK30_RS06050
GLYCOGENSYNTH-PWY,FEK30_RS14875
GLYCOGENSYNTH-PWY,FEK30_RS11955
GLYCOGENSYNTH-PWY,FEK30_RS13765
GLYCOGENSYNTH-PWY,FEK30_RS04520
PWY-6629,FEK30_RS09830
PWY-6629,FEK30_RS13565
PWY-6629,FEK30_RS14975
PWY-6629,FEK30_RS04890
PWY-6629,FEK30_RS02205
PWY-6629,FEK30_RS12990
PWY-6629,FEK30_RS02250
PWY-6629,FEK30_RS10935
PWY-6629,FEK30_RS03920
PWY-6629,FEK30_RS15240
PWY-6629,FEK30_RS13145
PWY-6629,FEK30_RS08870
PWY-6629,FEK30_RS06895
PWY-6629,FEK30_RS05540
PWY-6785,FEK30_RS05080
PWY-6785,FEK30_RS13065
PWY-8279,FEK30_RS06715
PWY-8279,FEK30_RS09245
PWY-8279,FEK30_RS09360
PWY-8279,FEK30_RS01395
PWY-8279,FEK30_RS04395
PWY-8279,FEK30_RS07480
PWY-8279,FEK30_RS15415
PWY-8279,FEK30_RS12725
PWY-5964,FEK30_RS03925
ASPARTATESYN-PWY,FEK30_RS15175
PWY-5046,FEK30_RS07375
PWY-5046,FEK30_RS04595
PWY-5046,FEK30_RS09770
PWY-6613,FEK30_RS04050
PWY-6613,FEK30_RS14430
PWY-6613,FEK30_RS08550
PANTOSYN-PWY,FEK30_RS05785
PANTOSYN-PWY,FEK30_RS13585
PANTOSYN-PWY,FEK30_RS15780
PANTOSYN-PWY,FEK30_RS05640
PANTOSYN-PWY,FEK30_RS03220
PANTOSYN-PWY,FEK30_RS11325
PANTOSYN-PWY,FEK30_RS02265
ALANINE-VALINESYN-PWY,FEK30_RS13755
ALANINE-VALINESYN-PWY,FEK30_RS05240
PWY-8105,FEK30_RS03565
PWY-6535,FEK30_RS03505
PWY-6984,FEK30_RS05375
PWY-8270,FEK30_RS13880
PWY-8270,FEK30_RS13875
PWY-8270,FEK30_RS16275
PWY-8270,FEK30_RS08300
PWY-8270,FEK30_RS08295
PWY-8270,FEK30_RS07885
PWY-8270,FEK30_RS05950
PWY-8270,FEK30_RS14125
PWY-8270,FEK30_RS14120
PWY-8270,FEK30_RS12235
PWY-8270,FEK30_RS09330
PWY-8270,FEK30_RS09325
PWY-8270,FEK30_RS01565
PWY-8270,FEK30_RS07515
PWY-8270,FEK30_RS11160
PWY-8270,FEK30_RS13610
PWY-8270,FEK30_RS02770
PWY-8270,FEK30_RS02765
PWY-8270,FEK30_RS03395
PWY-8270,FEK30_RS03390
PWY-7639,FEK30_RS03925
PWY-6751,FEK30_RS05045
PWY-6751,FEK30_RS05055
PWY-6751,FEK30_RS05080
PWY-6751,FEK30_RS13065
PWY-6502,FEK30_RS04315
PWY-7996,FEK30_RS08860
PWY-5921,FEK30_RS12115
PWY-5921,FEK30_RS09235
PWY-5921,FEK30_RS02310
PWY-5921,FEK30_RS11295
PWY-5921,FEK30_RS11005
PWY-5921,FEK30_RS02140
PWY-5921,FEK30_RS02055
PWY-5921,FEK30_RS12455
PWY-5921,FEK30_RS02260
PWY-5921,FEK30_RS08870
PWY-5921,FEK30_RS01525
PWY-5921,FEK30_RS13145
PWY-5921,FEK30_RS10885
PWY2DNV-11,FEK30_RS10655
PWY2DNV-11,FEK30_RS06085
PWY-7183,FEK30_RS12810
PWY-7183,FEK30_RS12795
NADPHOS-DEPHOS-PWY-1,FEK30_RS05150
NADPHOS-DEPHOS-PWY-1,FEK30_RS02790
NADPHOS-DEPHOS-PWY-1,FEK30_RS09470
HOMOSER-THRESYN-PWY,FEK30_RS04500
HOMOSER-THRESYN-PWY,FEK30_RS11205
HOMOSER-THRESYN-PWY,FEK30_RS05490
PWY-6910,FEK30_RS04145
PWY-5913,FEK30_RS02780
PWY-5913,FEK30_RS12755
PWY-5913,FEK30_RS11260
PWY-5913,FEK30_RS08290
PWY-7902,FEK30_RS03855
PWY-7902,FEK30_RS03905
PWY-7902,FEK30_RS04520
PWY-7902,FEK30_RS03915
PWY-7902,FEK30_RS03910
PWY-8165,FEK30_RS13495
PWY-8165,FEK30_RS08710
PPGPPMET-PWY,FEK30_RS03735
PPGPPMET-PWY,FEK30_RS08165
PYRIDOXSYN-PWY,FEK30_RS02605
PYRIDOXSYN-PWY,FEK30_RS09965
PYRIDOXSYN-PWY,FEK30_RS04515
PYRIDOXSYN-PWY,FEK30_RS07460
PWY-7856,FEK30_RS09900
PWY-7856,FEK30_RS09905
PWY-7228,FEK30_RS05390
PWY-7228,FEK30_RS11005
PWY-7228,FEK30_RS13670
PWY-7228,FEK30_RS10945
PWY-7228,FEK30_RS05990
PWY-7228,FEK30_RS08165
PWY-8130,FEK30_RS15805
PWY-8130,FEK30_RS04585
PWY-7892,FEK30_RS03200
PWY-7892,FEK30_RS09955
PWY-7892,FEK30_RS08795
PWY-7892,FEK30_RS10335
PWY-7892,FEK30_RS13495
PWY-7892,FEK30_RS08710
THRESYN-PWY,FEK30_RS10510
THRESYN-PWY,FEK30_RS10550
THRESYN-PWY,FEK30_RS14905
THRESYN-PWY,FEK30_RS04500
THRESYN-PWY,FEK30_RS11205
THRESYN-PWY,FEK30_RS05490
THRESYN-PWY,FEK30_RS15175
PWY-6387,FEK30_RS08835
PWY-6387,FEK30_RS04565
PWY-6387,FEK30_RS03125
PWY-6387,FEK30_RS04570
PWY-6387,FEK30_RS08340
PWY-6387,FEK30_RS06980
PWY-6387,FEK30_RS04645
PWY-6387,FEK30_RS12215
PWY-6387,FEK30_RS07270
GLYSYN-PWY,FEK30_RS01715
PWY-7968,FEK30_RS03575
RIBOSYN2-PWY,FEK30_RS01550
RIBOSYN2-PWY,FEK30_RS15600
RIBOSYN2-PWY,FEK30_RS04720
RIBOSYN2-PWY,FEK30_RS11540
RIBOSYN2-PWY,FEK30_RS06220
PWY-6147,FEK30_RS05590
PWY-6147,FEK30_RS02450
PWY-6147,FEK30_RS05595
PWY-6147,FEK30_RS01780
PWY-6147,FEK30_RS16550
PWY-8291,FEK30_RS12435
PWY-8291,FEK30_RS05300
PWY-8291,FEK30_RS14485
PWY0-1021,FEK30_RS13495
PWY0-1021,FEK30_RS08710
PWY-5101,FEK30_RS07750
PWY-5101,FEK30_RS01325
PWY-5101,FEK30_RS03655
PWY-5101,FEK30_RS03175
PWY-5101,FEK30_RS03500
PWY-5101,FEK30_RS07360
PWY-5101,FEK30_RS13755
PWY-6019,FEK30_RS06500
PWY-4261,FEK30_RS03860
PWY-4261,FEK30_RS03910
PWY0-1319,FEK30_RS02005
PWY0-1319,FEK30_RS03915
PWY0-1319,FEK30_RS03910
PWY0-1319,FEK30_RS01540
PWY0-1319,FEK30_RS08845
PWY0-1319,FEK30_RS09320
PWY-5340,FEK30_RS10915
PWY-5340,FEK30_RS11695
PWY0-1479,FEK30_RS09450
PWY0-1479,FEK30_RS14655
PWY-5805,FEK30_RS06985
